component_id,sum_of_max_gross_load_mw,max_of_sum_gross_load_mw,max_ramp,min_ramp,idxmax_ramp,idxmin_ramp,max_abs_ramp,idxmax_abs_ramp,EIA_UNIT_TYPE,capacity_CAMD,capacity_EIA,simple_CAMD_FUEL_TYPE_via_capacity,simple_EIA_FUEL_TYPE_via_capacity,simple_EIA_UNIT_TYPE,ramp_factor_CAMD,ramp_factor_EIA,ramp_factor_sum_max,ramp_factor_max_sum
24,86.0,86.0,75.0,-71.0,2016-07-03 14:00:00+00:00,2016-06-03 23:00:00+00:00,75.0,2016-07-03 14:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,0.9375,0.9375,0.872093023255814,0.872093023255814
25,272.0,272.0,165.0,-246.0,2019-09-19 13:00:00+00:00,2018-10-08 20:00:00+00:00,246.0,2018-10-08 20:00:00+00:00,"('ST',)",272.0,272.0,gas,gas,steam_turbine,0.9044117647058824,0.9044117647058824,0.9044117647058824,0.9044117647058824
26,271.0,271.0,136.0,-266.0,2018-03-26 20:00:00+00:00,2015-11-19 20:00:00+00:00,266.0,2015-11-19 20:00:00+00:00,"('ST',)",272.0,272.0,gas,gas,steam_turbine,0.9779411764705882,0.9779411764705882,0.981549815498155,0.981549815498155
27,270.0,270.0,158.0,-229.0,2018-05-23 15:00:00+00:00,2019-09-30 01:00:00+00:00,229.0,2019-09-30 01:00:00+00:00,"('ST',)",272.0,272.0,gas,gas,steam_turbine,0.8419117647058824,0.8419117647058824,0.8481481481481481,0.8481481481481481
28,270.0,270.0,166.0,-263.0,2015-06-24 22:00:00+00:00,2015-06-29 20:00:00+00:00,263.0,2015-06-29 20:00:00+00:00,"('ST',)",244.8,244.8,gas,gas,steam_turbine,1.0743464052287581,1.0743464052287581,0.9740740740740741,0.9740740740740741
29,910.0,910.0,627.0,-481.0,2019-09-17 14:00:00+00:00,2019-09-17 13:00:00+00:00,627.0,2019-09-17 14:00:00+00:00,"('ST',)",952.0,952.0,coal,coal,steam_turbine,0.6586134453781513,0.6586134453781513,0.689010989010989,0.689010989010989
30,188.0,188.0,108.0,-112.0,2016-03-06 23:00:00+00:00,2015-07-21 05:00:00+00:00,112.0,2015-07-21 05:00:00+00:00,"('ST',)",200.0,200.0,coal,coal,steam_turbine,0.56,0.56,0.5957446808510638,0.5957446808510638
31,185.0,185.0,95.0,-99.0,2015-05-11 10:00:00+00:00,2015-02-24 09:00:00+00:00,99.0,2015-02-24 09:00:00+00:00,"('ST',)",200.0,200.0,coal,coal,steam_turbine,0.495,0.495,0.5351351351351351,0.5351351351351351
32,192.0,192.0,97.0,-107.0,2016-03-06 23:00:00+00:00,2015-12-05 18:00:00+00:00,107.0,2015-12-05 18:00:00+00:00,"('ST',)",200.0,200.0,coal,coal,steam_turbine,0.535,0.535,0.5572916666666666,0.5572916666666666
33,191.0,191.0,85.0,-104.0,2015-08-08 14:00:00+00:00,2015-07-21 05:00:00+00:00,104.0,2015-07-21 05:00:00+00:00,"('ST',)",200.0,200.0,coal,coal,steam_turbine,0.52,0.52,0.5445026178010471,0.5445026178010471
34,0.0,0.0,0.0,0.0,2015-01-01 07:00:00+00:00,2015-01-01 07:00:00+00:00,0.0,2015-01-01 07:00:00+00:00,"('ST',)",550.0,550.0,coal,coal,steam_turbine,0.0,0.0,,
35,487.0,487.0,124.0,-165.0,2015-02-09 23:00:00+00:00,2015-05-12 07:00:00+00:00,165.0,2015-05-12 07:00:00+00:00,"('ST',)",575.0,575.0,coal,coal,steam_turbine,0.28695652173913044,0.28695652173913044,0.33880903490759756,0.33880903490759756
36,0.0,0.0,0.0,0.0,2015-01-01 07:00:00+00:00,2015-01-01 07:00:00+00:00,0.0,2015-01-01 07:00:00+00:00,"('ST',)",550.0,550.0,coal,coal,steam_turbine,0.0,0.0,,
